region_id,x,y,distance,elevation,terrain_complexity,semantic_label,semantic_importance,dynamic_relevance,uncertainty,confidence,point_count,distance_score,base_importance,importance,resolution_m
0,-26.005449295043945,31.25728988647461,40.66081115870919,6.6808695793151855,0.0,unknown,0.5,0.2,0.5,0.0,1,0.5933918884129081,0.4080175665238724,0.4830175665238724,0.2
1,-24.56118392944336,29.479907035827637,38.37077891908094,4.04336142539978,0.8516223962688422,unknown,0.5,0.2,0.5,0.0,2,0.6162922108091906,0.5426310226830836,0.6176310226830836,0.1
2,-25.032727813720705,31.410624694824218,40.165467823927145,1.9772790908813476,0.6182728262294144,unknown,0.5,0.2,0.5,0.0,10,0.5983453217607286,0.5022445204626308,0.5772445204626308,0.1
3,-22.82749366760254,29.170964770846897,37.041053613611275,3.2703498668140836,0.6514778371579427,unknown,0.5,0.2,0.5,0.0,9,0.6295894638638873,0.5165985147328577,0.5915985147328576,0.1
4,-22.868874277387345,31.086550167628697,38.592214396681676,1.6037639805248805,0.3443028490276526,unknown,0.5,0.2,0.5,0.0,14,0.6140778560331832,0.4658687841641029,0.5408687841641029,0.1
5,-20.694095770517986,28.774152596791584,35.44287597561488,4.211357208235616,0.873896259205843,unknown,0.5,0.2,0.5,0.0,12,0.6455712402438512,0.5547558109540318,0.6297558109540318,0.1
6,-21.25862142774794,30.493634965684677,37.172446226052045,0.8693218436900578,0.30878348964748475,unknown,0.5,0.2,0.5,0.0,9,0.6282755377394795,0.4648001847689665,0.5398001847689665,0.1
7,-20.77883529663086,74.52229309082031,77.36492851285159,5.410311222076416,0.0,unknown,0.5,0.2,0.5,0.0,1,0.22635071487148406,0.29790521446144524,0.37290521446144526,0.2
8,-18.48380470275879,27.96859359741211,33.524517358299576,4.711943626403809,0.0,unknown,0.5,0.2,0.5,0.0,1,0.6647548264170042,0.42942644792510126,0.5044264479251013,0.1
9,-18.691194025675454,28.579834111531575,34.14919694441012,2.393700474787814,0.6728937498013874,unknown,0.5,0.2,0.5,0.0,15,0.6585080305558988,0.5284864716369778,0.6034864716369778,0.1
10,-19.13903045654297,30.227120399475098,35.77682622118461,0.8335615267618172,0.4798694006747019,unknown,0.5,0.2,0.5,0.0,6,0.6422317377881539,0.4946499314376514,0.5696499314376514,0.1
11,-18.378469467163086,62.627723693847656,65.2686748373856,9.947559356689453,0.2888085918646788,unknown,0.5,0.2,0.5,0.0,2,0.347313251626144,0.37751526426754495,0.45251526426754496,0.2
12,-19.026390075683594,68.60798645019531,71.19732666373264,13.414660453796387,0.0,unknown,0.5,0.2,0.5,0.0,1,0.2880267333626736,0.316408020008802,0.39140802000880204,0.2
13,-16.66039161682129,27.776320457458496,32.38969939627839,2.6463270624604776,0.4305308593052418,unknown,0.5,0.2,0.5,0.0,10,0.6761030060372162,0.4974105307069511,0.5724105307069511,0.1
