frame_id,scene_category,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance,object_or_region_id
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,181,NaN (non-ML source),0.05,0.841861,5991fad3280c4f84b331536c32001a04_r38
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,134,NaN (non-ML source),0.05,0.837182,5991fad3280c4f84b331536c32001a04_r39
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,43,NaN (non-ML source),0.05,0.82717,5991fad3280c4f84b331536c32001a04_r40
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,26,NaN (non-ML source),0.05,0.827386,5991fad3280c4f84b331536c32001a04_r41
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,28,NaN (non-ML source),0.05,0.827812,5991fad3280c4f84b331536c32001a04_r42
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,24,NaN (non-ML source),0.05,0.820965,5991fad3280c4f84b331536c32001a04_r43
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.803569,5991fad3280c4f84b331536c32001a04_r44
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.773769,5991fad3280c4f84b331536c32001a04_r45
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.74289,5991fad3280c4f84b331536c32001a04_r46
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,1,NaN (non-ML source),0.1,0.676479,5991fad3280c4f84b331536c32001a04_r47
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,1,NaN (non-ML source),0.1,0.643767,5991fad3280c4f84b331536c32001a04_r48
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.05,0.766721,5991fad3280c4f84b331536c32001a04_r49
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,4,NaN (non-ML source),0.05,0.808863,5991fad3280c4f84b331536c32001a04_r50
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,20,NaN (non-ML source),0.05,0.820185,5991fad3280c4f84b331536c32001a04_r51
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,11,NaN (non-ML source),0.05,0.826262,5991fad3280c4f84b331536c32001a04_r52
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,29,NaN (non-ML source),0.05,0.844822,5991fad3280c4f84b331536c32001a04_r53
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,60,NaN (non-ML source),0.05,0.844427,5991fad3280c4f84b331536c32001a04_r54
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,27,NaN (non-ML source),0.05,0.83263,5991fad3280c4f84b331536c32001a04_r55
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.05,0.808771,5991fad3280c4f84b331536c32001a04_r56
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.05,0.813103,5991fad3280c4f84b331536c32001a04_r57
5991fad3280c4f84b331536c32001a04,sparse,original,vehicle,annotation,True,True,1,NaN (non-ML source),0.05,0.775585,5991fad3280c4f84b331536c32001a04_r58
6d1d793b68b24165be5755a54054c82a,dense,original,static_manmade,annotation,True,True,4,NaN (non-ML source),0.1,0.531063,6d1d793b68b24165be5755a54054c82a_r59
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,9,NaN (non-ML source),0.05,0.784487,6d1d793b68b24165be5755a54054c82a_r60
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,20,NaN (non-ML source),0.05,0.788184,6d1d793b68b24165be5755a54054c82a_r61
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,1,NaN (non-ML source),0.05,0.714559,6d1d793b68b24165be5755a54054c82a_r62
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.714425,6d1d793b68b24165be5755a54054c82a_r63
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.742736,6d1d793b68b24165be5755a54054c82a_r64
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,5,NaN (non-ML source),0.05,0.759795,6d1d793b68b24165be5755a54054c82a_r65
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.750132,6d1d793b68b24165be5755a54054c82a_r66
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,1,NaN (non-ML source),0.1,0.681989,6d1d793b68b24165be5755a54054c82a_r67
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.05,0.748815,6d1d793b68b24165be5755a54054c82a_r68
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,47,NaN (non-ML source),0.05,0.811748,6d1d793b68b24165be5755a54054c82a_r69
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,86,NaN (non-ML source),0.05,0.815892,6d1d793b68b24165be5755a54054c82a_r70
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,31,NaN (non-ML source),0.05,0.827078,6d1d793b68b24165be5755a54054c82a_r71
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,4,NaN (non-ML source),0.05,0.796398,6d1d793b68b24165be5755a54054c82a_r72
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,32,NaN (non-ML source),0.05,0.856399,6d1d793b68b24165be5755a54054c82a_r73
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,18,NaN (non-ML source),0.05,0.854687,6d1d793b68b24165be5755a54054c82a_r74
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,4,NaN (non-ML source),0.05,0.733343,6d1d793b68b24165be5755a54054c82a_r75
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.1,0.692427,6d1d793b68b24165be5755a54054c82a_r76
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,4,NaN (non-ML source),0.05,0.795666,6d1d793b68b24165be5755a54054c82a_r77
