frame_id,scene_id,scene_category,success,failure_reason,latency_ms,FPS,map_cell_count,res_0_05,res_0_10,res_0_20,res_0_50,mean_importance,mean_resolution
5991fad3280c4f84b331536c32001a04,scene-0655,sparse,True,,2019.3506,0.495209,533,52,429,52,0,0.565344,0.104878
6d1d793b68b24165be5755a54054c82a,scene-1077,dense,True,,1211.7909,0.825225,759,20,684,55,0,0.541847,0.105929
b26e791522294bec90f86fd72226e35c,scene-0061,many_vehicles,True,,2942.7401,0.339819,1132,59,791,282,0,0.516381,0.122306
dc4c80e8a1534ff8a3eb80307341161c,scene-1100,pedestrian_vru,True,,4224.2121,0.236731,1257,30,1050,177,0,0.520506,0.112888
c844bf5a9f2243ff8f4bf2c85fe218ff,scene-0061,complex_static,True,,4206.4673,0.237729,1059,49,730,280,0,0.513202,0.124127
5c85640c10d9485c86bf6eb44778c002,scene-0655,normal,True,,2969.3272,0.336777,509,80,403,26,0,0.587429,0.09725
858a1ece22cf45d9bc71e42336604b78,scene-0916,difficult_geometry,True,,2903.0648,0.344464,1055,73,841,141,0,0.54299,0.109905
