frame_id,timestamp,input_points,processed_points,retained_ratio,map_cells,res_0_05,res_0_10,res_0_20,res_0_50,mean_importance,latency_ms,fps,semantic_source,success,failure_reason
5991fad3280c4f84b331536c32001a04,1535385092150099.0,34368,34359,0.999738,533,52,429,52,0,0.565344,1398.539,0.715,annotation+fallback,True,
6d1d793b68b24165be5755a54054c82a,1542800377447456.0,34784,34778,0.999828,759,20,684,55,0,0.541847,1391.578,0.7186,annotation+fallback,True,
b26e791522294bec90f86fd72226e35c,1532402937198682.0,34688,34625,0.998184,1132,59,791,282,0,0.516381,1762.344,0.5674,annotation+fallback,True,
dc4c80e8a1534ff8a3eb80307341161c,1542800989447876.0,34720,34689,0.999107,1257,30,1050,177,0,0.520506,1720.737,0.5811,annotation+fallback,True,
c844bf5a9f2243ff8f4bf2c85fe218ff,1532402937698000.0,34688,34619,0.998011,1059,49,730,280,0,0.513202,1832.776,0.5456,annotation+fallback,True,
5c85640c10d9485c86bf6eb44778c002,1535385096399680.0,34720,34690,0.999136,509,80,403,26,0,0.587429,1292.785,0.7735,annotation+fallback,True,
858a1ece22cf45d9bc71e42336604b78,1538984238948012.0,34784,34764,0.999425,1055,73,841,141,0,0.54299,1527.11,0.6548,annotation+fallback,True,
