configuration_id,weight_config,threshold_config,file,frame_id,scene_category,condition,map_cells,fine_cells,medium_cells,coarse_cells,mean_importance,mean_resolution,mapping_latency_ms,total_equiv_latency_ms,fps_equiv,success
W_BASE+THRESH_A,W_BASE,THRESH_A,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,noise_high,759,14,566,179,0.5428273187853377,0.12266139657444004,92.61669998522848,1758.1855001626536,0.5687681987523431,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,original,1132,39,620,473,0.5163809134880591,0.1400618374558304,139.34489991515875,2152.2616000147536,0.4646275341218489,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,dropout_5pct,1123,39,616,468,0.5166403380909671,0.13993766696349064,100.18130007665604,2361.752500059083,0.42341439247972995,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,dropout_10pct,1106,39,604,463,0.5157544969531669,0.1400994575045208,88.72240001801401,1909.9161999765784,0.5235831812999246,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,dropout_20pct,1077,37,597,443,0.5161704864527865,0.13941504178272981,89.39199999440461,1397.1286999294534,0.7157536739818557,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,dropout_30pct,1034,37,580,417,0.5181330062215371,0.1385396518375242,118.1366000091657,1186.793899978511,0.8426062857401835,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,sparse_75pct,1048,38,591,419,0.5200528054529531,0.13816793893129772,85.07090003695339,2775.8865000214428,0.36024527659624245,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,sparse_50pct,931,34,532,365,0.5218921867488946,0.13737916219119228,169.54219993203878,1805.165599915199,0.5539657968482099,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,sparse_25pct,723,25,459,239,0.5298058465813077,0.1313278008298755,91.16399998310953,542.2457000240684,1.8441824434119323,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,noise_low,1136,39,624,473,0.5166660821666382,0.13992077464788732,102.39360004197806,1245.389600051567,0.802961579218739,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,noise_medium,1138,38,626,474,0.5164507716718885,0.13998242530755714,150.15830006450415,1305.507600074634,0.7659855828819622,True
W_BASE+THRESH_A,W_BASE,THRESH_A,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,noise_high,1139,39,618,482,0.5159612188067517,0.14060579455662864,110.44750001747161,1064.1665000002831,0.9397025747378196,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,original,1257,30,800,427,0.5205063586205791,0.13277645186953063,121.42939993645996,955.4717999417335,1.046603363972628,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,dropout_5pct,1244,29,792,423,0.5204076289977729,0.13283762057877813,147.34380005393177,1354.3810000410303,0.7383446755157562,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,dropout_10pct,1236,30,788,418,0.5207623490721466,0.1326051779935275,107.16590005904436,884.8274000920355,1.1301639165965982,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,dropout_20pct,1198,28,769,401,0.5208659346151941,0.13230383973288815,127.83560005482286,861.6595000494272,1.1605512385607508,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,dropout_30pct,1166,27,766,373,0.5249789955671992,0.1308319039451115,113.37179993279278,802.2938999347389,1.2464260292660123,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,sparse_75pct,1186,31,787,368,0.5277326031141572,0.12972175379426643,167.7832999266684,916.5744999190792,1.0910187879853586,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,sparse_50pct,1047,25,707,315,0.5297362211508128,0.12889207258834767,87.06400007940829,593.8148000277579,1.6840267368769775,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,sparse_25pct,855,23,593,239,0.5351705938079653,0.12660818713450292,71.578299975954,367.99399997107685,2.717435610576794,True
