object_or_region_id,frame_id,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance
5991fad3280c4f84b331536c32001a04_r363,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,24,,0.05,0.8209646051505805
5991fad3280c4f84b331536c32001a04_r365,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,3,,0.05,0.8035685878839507
5991fad3280c4f84b331536c32001a04_r366,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,3,,0.05,0.7737690784084874
5991fad3280c4f84b331536c32001a04_r368,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,3,,0.1,0.7428901486026284
5991fad3280c4f84b331536c32001a04_r370,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6764786255730909
5991fad3280c4f84b331536c32001a04_r371,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6437668522276495
5991fad3280c4f84b331536c32001a04_r378,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.05,0.7667207934612393
5991fad3280c4f84b331536c32001a04_r379,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,4,,0.05,0.8088630154324726
5991fad3280c4f84b331536c32001a04_r381,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,20,,0.05,0.8201854262153301
5991fad3280c4f84b331536c32001a04_r383,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,11,,0.05,0.8262617133395589
5991fad3280c4f84b331536c32001a04_r384,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,29,,0.05,0.8448218776502516
5991fad3280c4f84b331536c32001a04_r385,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,60,,0.05,0.8444271156971083
5991fad3280c4f84b331536c32001a04_r386,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,27,,0.05,0.8326302267016231
