condition,condition_type,condition_parameter,seed,input_points,processed_points,dropped_points,retained_ratio,degraded_points,map_cells,fine_cells,medium_cells,coarse_cells,res_20cm_cells,res_50cm_cells,average_resolution,spatial_coverage,mean_importance,mean_uncertainty,preprocessing_latency_ms,perception_latency_ms,feature_extraction_latency_ms,importance_latency_ms,resolution_latency_ms,mapping_latency_ms,total_latency_ms,fps,success,failure_reason,exception_type,stage_of_failure,file,frame_id,scene_category,timestamp,dropout_rate,sparsity_level,noise_level,scene_id
noise_high,noise,0.05,42,34359,34359,0,1.0,34359,541,45,387,109,109,0,0.11598890942698706,10269.230846751447,0.5639497452704246,0.5,8.109200047329068,462.61179994326085,1253.8982999976724,52.87809995934367,0.8583000162616372,91.3291999604553,1815.9484999487177,0.550676409616374,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,,high,scene-0655
original,original,,42,34778,34778,0,1.0,34778,759,14,560,185,185,0,0.12345191040843213,15160.459452468494,0.541847307909531,0.5,20.434800069779158,473.9791000029072,673.42279991135,112.55650001112372,23.03449995815754,124.00790001265705,1291.8445999966934,0.7740869141710695,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,,,scene-1077
dropout_5pct,dropout,0.05,42,34778,33018,1760,0.949393294611536,33018,751,13,556,182,182,0,0.12336884154460719,13263.267657791052,0.542607805519914,0.5,8.138400036841631,244.44519996177405,479.41519995220006,36.290899966843426,1.130899996496737,79.65369999874383,811.6524999495596,1.232054358314852,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,0.05,,,scene-1077
dropout_10pct,dropout,0.1,42,34778,31371,3407,0.9020357697394905,31371,741,13,547,181,181,0,0.12354925775978408,13263.267657791052,0.5415567257438769,0.5,13.166800024919212,298.34089998621494,1119.4891000632197,45.76369991991669,0.7827000226825476,106.75289994105697,1537.7497000154108,0.6503008909642306,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,0.1,,,scene-1077
dropout_20pct,dropout,0.2,42,34778,27850,6928,0.8007936051526827,27850,725,13,539,173,173,0,0.12296551724137932,13129.89856196354,0.5427145497278303,0.5,14.072899939492345,475.07649997714907,816.2928000092506,41.77420004270971,1.0880999034270644,86.49940008763224,1391.9416000135243,0.7184209452395731,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,0.2,,,scene-1077
dropout_30pct,dropout,0.3,42,34778,24329,10449,0.6995514405658749,24329,705,12,525,168,168,0,0.12297872340425532,12973.348360133436,0.5432026694762703,0.5,11.222800007089972,255.2034999243915,568.9307000720873,38.23830001056194,1.05189997702837,75.29980002436787,910.6568000279367,1.0981085299855253,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,0.3,,,scene-1077
sparse_75pct,sparsity,0.75,42,34778,26084,8694,0.7500143769049399,26084,720,14,525,181,181,0,0.12416666666666668,13502.315281683594,0.5413740693971414,0.5,11.517599923536181,307.95260006561875,550.8374000201002,36.811299971304834,1.0794000700116158,93.09290000237525,963.4005000116304,1.0379899117635167,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,0.75,,scene-1077
sparse_50pct,sparsity,0.5,42,34778,17389,17389,0.5,17389,665,13,490,162,162,0,0.12338345864661654,13476.330471285124,0.5427000837234497,0.5,8.359799976460636,213.1080999970436,430.246900068596,42.93720005080104,1.4903999399393797,183.70550009422004,835.4203001363203,1.1970022751863036,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,0.5,,scene-1077
sparse_25pct,sparsity,0.25,42,34778,8694,26084,0.2499856230950601,8694,567,7,427,133,133,0,0.1228395061728395,13200.992193892627,0.5453472264299197,0.5,2.1142999175935984,143.3259000768885,399.7868000296876,34.63989996816963,0.7921999786049128,100.38810002151877,645.6151000456885,1.5489104885081415,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,0.25,,scene-1077
noise_low,noise,0.01,42,34778,34778,0,1.0,34778,755,14,557,184,184,0,0.12344370860927155,15157.59698482312,0.5416995478756662,0.5,17.323699896223843,1202.9335000552237,1645.703100017272,41.505100089125335,1.0032999562099576,92.23730000667274,2958.197599975392,0.3380436790322318,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,,low,scene-1077
noise_medium,noise,0.03,42,34778,34778,0,1.0,34778,758,14,563,181,181,0,0.12295514511873351,15151.872177798767,0.5423830462067808,0.5,22.07589999306947,857.388100004755,975.7445999421179,55.12729997280985,0.911800074391067,120.56819989811629,1975.7767998380587,0.5061300446902521,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,,medium,scene-1077
noise_high,noise,0.05,42,34778,34778,0,1.0,34778,759,14,566,179,179,0,0.12266139657444004,15146.14754179627,0.5428273187853377,0.5,17.64010009355843,597.2442000638694,1050.6845000199974,49.146999954245985,0.8590000215917826,117.94719996396452,1783.5160001413897,0.5606902320588794,True,,,,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,6d1d793b68b24165be5755a54054c82a,dense,1542800377447456.0,,,high,scene-1077
original,original,,42,34625,34625,0,1.0,34625,1132,39,620,473,473,0,0.1400618374558304,23433.9976899646,0.5163809134880591,0.5,15.9169000107795,782.7070000348613,1214.2928000539541,86.93510002922267,4.866999923251569,164.6971000591293,2177.613800158724,0.4592182506958355,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,,,scene-0061
dropout_5pct,dropout,0.05,42,34625,32874,1751,0.9494296028880866,32874,1123,39,616,468,468,0,0.13993766696349064,23433.9976899646,0.5166403380909671,0.5,15.707999933511019,995.9543000441045,1249.9089000048116,76.80040004197508,1.824400038458407,182.18239990528673,2443.753599887714,0.40920655832320746,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,0.05,,,scene-0061
dropout_10pct,dropout,0.1,42,34625,31232,3393,0.9020072202166065,31232,1106,39,604,463,463,0,0.1400994575045208,23433.9976899646,0.5157544969531669,0.5,10.468400083482265,703.518999973312,1107.20639990177,76.3459000736475,1.755199977196753,154.48609995655715,1975.6798999151215,0.5061548685305558,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,0.1,,,scene-0061
dropout_20pct,dropout,0.2,42,34625,27723,6902,0.8006642599277979,27723,1077,37,597,443,443,0,0.13941504178272981,23407.864522130694,0.5161704864527865,0.5,12.2231999412179,528.0194999650121,767.4940000288188,54.85920002683997,1.3171000173315406,125.88309997227043,1433.6197999073192,0.6975350089784251,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,0.2,,,scene-0061
dropout_30pct,dropout,0.3,42,34625,24215,10410,0.6993501805054152,24215,1034,37,580,417,417,0,0.1385396518375242,23407.864522130694,0.5181330062215371,0.5,10.07489999756217,389.6025000140071,668.9798999577761,64.50039998162538,1.8234000308439136,199.33580001816154,1267.9930999875069,0.7886478246686458,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,0.3,,,scene-0061
sparse_75pct,sparsity,0.75,42,34625,25969,8656,0.7500072202166065,25969,1048,38,591,419,419,0,0.13816793893129772,23169.529097241,0.5200528054529531,0.5,13.251699972897768,977.338399970904,1700.2255000406876,100.03370000049472,2.161600044928491,247.21319996751845,2938.028799952008,0.34036426056011937,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,0.75,,scene-0061
sparse_50pct,sparsity,0.5,42,34625,17312,17313,0.49998555956678703,17312,931,34,532,365,365,0,0.13737916219119228,22471.160778951715,0.5218921867488946,0.5,12.648099916987121,577.7182000456378,1045.2571000205353,76.86509995255619,2.3609999334439635,137.18850002624094,1772.8119000094011,0.5640756359965189,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,0.5,,scene-0061
sparse_25pct,sparsity,0.25,42,34625,8656,25969,0.24999277978339352,8656,723,25,459,239,239,0,0.1313278008298755,21938.992628759384,0.5298058465813077,0.5,3.39590001385659,210.465700016357,237.22010001074523,33.55720010586083,0.42280007619410753,62.3011999996379,513.3829000405967,1.9478638651987106,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,0.25,,scene-0061
noise_low,noise,0.01,42,34625,34625,0,1.0,34625,1136,39,624,473,473,0,0.13992077464788732,23437.899387477883,0.5166660821666382,0.5,10.524900048039854,474.9537999741733,657.5172999873757,56.7033999832347,2.596799982711673,128.04350000806153,1271.0395000176504,0.7867576105904761,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,,low,scene-0061
noise_medium,noise,0.03,42,34625,34625,0,1.0,34625,1138,38,626,474,474,0,0.13998242530755714,23445.702933685378,0.5164507716718885,0.5,9.693200001493096,448.56099993921816,697.0951000694185,52.545699989423156,1.0992999887093902,115.00709992833436,1270.3563999384642,0.7871806683923029,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,,medium,scene-0061
noise_high,noise,0.05,42,34625,34625,0,1.0,34625,1139,39,618,482,482,0,0.14060579455662864,23453.506681467457,0.5159612188067517,0.5,12.999300030060112,403.7864999845624,536.933199968189,46.77539994008839,1.728000002913177,89.01110000442713,1042.7300999872386,0.959020939370829,True,,,,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,b26e791522294bec90f86fd72226e35c,many_vehicles,1532402937198682.0,,,high,scene-0061
original,original,,42,34689,34689,0,1.0,34689,1257,30,800,427,427,0,0.13277645186953063,24411.619507831394,0.5205063586205791,0.5,8.951199939474463,262.3437000438571,562.747500021942,50.01010000705719,0.7176001090556383,106.47959995549172,940.5219999607652,1.0632393501074042,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,,,scene-1100
dropout_5pct,dropout,0.05,42,34689,32935,1754,0.9494364207673902,32935,1244,29,792,423,423,0,0.13283762057877813,24411.619507831394,0.5204076289977729,0.5,8.76509991940111,448.54490004945546,749.727200018242,49.30460010655224,0.7132000755518675,118.39890002738684,1325.4361000144854,0.7544686612874594,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,0.05,,,scene-1100
dropout_10pct,dropout,0.1,42,34689,31290,3399,0.9020150479979244,31290,1236,30,788,418,418,0,0.1326051779935275,24411.619507831394,0.5207623490721466,0.5,7.889000000432134,226.47069999948144,543.3018000330776,50.36119988653809,1.9113000016659498,118.26520005706698,895.9267000900581,1.116162739540501,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,0.1,,,scene-1100
dropout_20pct,dropout,0.2,42,34689,27774,6915,0.8006572688748594,27774,1198,28,769,401,401,0,0.13230383973288815,24289.463191838,0.5208659346151941,0.5,7.996800006367266,250.52759994287044,475.2995000453666,48.05280000437051,1.8003999721258879,126.51089997962117,860.3347999742255,1.162338196746149,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,0.2,,,scene-1100
dropout_30pct,dropout,0.3,42,34689,24258,10431,0.6992994897517946,24258,1166,27,766,373,373,0,0.1308319039451115,24236.300267592596,0.5249789955671992,0.5,8.177099982276559,205.25989995803684,475.4851000616327,60.30529993586242,0.9590999688953161,116.2872000131756,805.2093000151217,1.2419131274082653,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,0.3,,,scene-1100
sparse_75pct,sparsity,0.75,42,34689,26017,8672,0.7500072068955577,26017,1186,31,787,368,368,0,0.12972175379426643,23940.700559209487,0.5277326031141572,0.5,6.46119995508343,223.16729999147356,519.1627000458539,36.999500007368624,1.0838001035153866,97.58060006424785,846.3718000566587,1.1815138452545997,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,0.75,,scene-1100
sparse_50pct,sparsity,0.5,42,34689,17344,17345,0.49998558620888467,17344,1047,25,707,315,315,0,0.12889207258834767,23371.65098971568,0.5297362211508128,0.5,3.3083000453189015,130.17469993792474,373.26779996510595,43.13200002070516,0.6079999729990959,79.50560003519058,586.2563999835402,1.7057383084058035,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,0.5,,scene-1100
sparse_25pct,sparsity,0.25,42,34689,8672,26017,0.24999279310444233,8672,855,23,593,239,239,0,0.12660818713450292,23392.62870263643,0.5351705938079653,0.5,2.2728999610990286,73.30360007472336,220.83919995930046,38.0310999462381,0.4988000728189945,66.91449997015297,363.3301999652758,2.752317313825198,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,0.25,,scene-1100
noise_low,noise,0.01,42,34689,34688,0,0.9999711724177693,34689,1256,30,798,428,428,0,0.13288216560509555,24319.59574355982,0.5205153886434591,0.5,7.639200077392161,400.1996999140829,548.2814999995753,45.34329997841269,1.4375000027939677,107.10220003966242,1063.2226000307128,0.9405368170043729,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,,low,scene-1100
noise_medium,noise,0.03,42,34689,34688,0,0.9999711724177693,34689,1263,29,803,431,431,0,0.13297703879651623,24314.599091876313,0.5202495231882118,0.5,8.091699914075434,257.2429000865668,569.0258000977337,47.51929990015924,1.904600067064166,101.36119998060167,935.7216000789776,1.0686939362259,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,,medium,scene-1100
noise_high,noise,0.05,42,34689,34688,0,0.9999711724177693,34689,1263,30,804,429,429,0,0.1327790973871734,24309.601841053744,0.5206199865824309,0.5,8.713699993677437,248.8698000088334,547.6349999662489,42.03510005027056,0.7240999257192016,89.36750004068017,894.5860000094399,1.1178355127281756,True,,,,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,1542800989447876.0,,,high,scene-1100
original,original,,42,34619,34619,0,1.0,34619,1059,37,575,447,447,0,0.14046270066100094,21878.360345926776,0.5132016426504201,0.5,9.619200020097196,397.9304999811575,517.5650999881327,42.119699995964766,0.6163000361993909,84.52869998291135,1009.6434999722987,0.9904486088678198,True,,,,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,1532402937698000.0,,,,scene-0061
dropout_5pct,dropout,0.05,42,34619,32869,1750,0.9494497241399231,32869,1049,36,581,432,432,0,0.13946615824594855,21842.636388211104,0.5139595927555263,0.5,7.213099976070225,367.18499998096377,494.87040005624294,34.00390001479536,1.5967999352142215,82.95900002121925,952.2275000344962,1.0501692084756775,True,,,,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,1532402937698000.0,0.05,,,scene-0061
dropout_10pct,dropout,0.1,42,34619,31227,3392,0.902019122447211,31227,1036,36,568,432,432,0,0.13996138996139,21842.636388211104,0.5131048674472302,0.5,7.817800040356815,345.0221000239253,463.36670010350645,41.746299946680665,0.597400008700788,88.29089999198914,904.4975001597777,1.105586250734084,True,,,,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,1532402937698000.0,0.1,,,scene-0061
dropout_20pct,dropout,0.2,42,34619,27718,6901,0.800658597879777,27718,1011,32,570,409,409,0,0.1388724035608309,21842.636388211104,0.5140011204107077,0.5,6.515900022350252,299.29979995358735,488.3488999912515,35.42189998552203,0.6061000749468803,73.74029990751296,867.9048998747021,1.1521999704626258,True,,,,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,1532402937698000.0,0.2,,,scene-0061
